nohup: ignoring input
[PIPELINE] 2026-03-03 15:12:25 Start STaSy full rerun
2026-03-03 15:12:30,228 - INFO - Starting Evaluation on device: cuda
2026-03-03 15:13:18,619 - INFO - Filtered execution to single model: STaSy (ICLR 23)
2026-03-03 15:13:18,619 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 15:13:18,620 - INFO - Evaluating STaSy (ICLR 23)...
2026-03-03 15:13:18,620 - INFO - Training STaSy ...
2026-03-03 15:13:57,551 - INFO - [STaSy] Epoch 3/100 - batch 200/836, loss=1.029262
2026-03-03 15:13:58,011 - INFO - [STaSy] Epoch 3/100 - batch 220/836, loss=1.585753
2026-03-03 15:13:58,471 - INFO - [STaSy] Epoch 3/100 - batch 240/836, loss=1.734067
2026-03-03 15:13:58,933 - INFO - [STaSy] Epoch 3/100 - batch 260/836, loss=2.052446
2026-03-03 15:13:59,364 - INFO - [STaSy] Epoch 3/100 - batch 280/836, loss=2.726816
2026-03-03 15:13:59,754 - INFO - [STaSy] Epoch 3/100 - batch 300/836, loss=1.269660
2026-03-03 15:14:00,145 - INFO - [STaSy] Epoch 3/100 - batch 320/836, loss=2.035957
2026-03-03 15:14:00,540 - INFO - [STaSy] Epoch 3/100 - batch 340/836, loss=1.110093
2026-03-03 15:14:00,949 - INFO - [STaSy] Epoch 3/100 - batch 360/836, loss=2.173244
2026-03-03 15:14:01,344 - INFO - [STaSy] Epoch 3/100 - batch 380/836, loss=1.451486
2026-03-03 15:14:01,734 - INFO - [STaSy] Epoch 3/100 - batch 400/836, loss=1.380391
2026-03-03 15:14:02,123 - INFO - [STaSy] Epoch 3/100 - batch 420/836, loss=1.478483
2026-03-03 15:14:02,514 - INFO - [STaSy] Epoch 3/100 - batch 440/836, loss=1.505008
2026-03-03 15:14:02,904 - INFO - [STaSy] Epoch 3/100 - batch 460/836, loss=1.155277
2026-03-03 15:14:03,294 - INFO - [STaSy] Epoch 3/100 - batch 480/836, loss=0.941506
2026-03-03 15:14:03,686 - INFO - [STaSy] Epoch 3/100 - batch 500/836, loss=1.378492
2026-03-03 15:14:04,081 - INFO - [STaSy] Epoch 3/100 - batch 520/836, loss=1.609061
2026-03-03 15:14:04,487 - INFO - [STaSy] Epoch 3/100 - batch 540/836, loss=1.452030
2026-03-03 15:14:04,888 - INFO - [STaSy] Epoch 3/100 - batch 560/836, loss=0.962499
2026-03-03 15:14:05,277 - INFO - [STaSy] Epoch 3/100 - batch 580/836, loss=1.945126
2026-03-03 15:14:05,665 - INFO - [STaSy] Epoch 3/100 - batch 600/836, loss=2.112340
2026-03-03 15:14:06,058 - INFO - [STaSy] Epoch 3/100 - batch 620/836, loss=1.493889
2026-03-03 15:14:06,454 - INFO - [STaSy] Epoch 3/100 - batch 640/836, loss=1.141703
2026-03-03 15:14:06,856 - INFO - [STaSy] Epoch 3/100 - batch 660/836, loss=3.389129
2026-03-03 15:14:07,259 - INFO - [STaSy] Epoch 3/100 - batch 680/836, loss=1.797904
2026-03-03 15:14:07,663 - INFO - [STaSy] Epoch 3/100 - batch 700/836, loss=1.060628
2026-03-03 15:14:08,069 - INFO - [STaSy] Epoch 3/100 - batch 720/836, loss=1.379359
2026-03-03 15:14:08,465 - INFO - [STaSy] Epoch 3/100 - batch 740/836, loss=1.845117
2026-03-03 15:14:08,845 - INFO - [STaSy] Epoch 3/100 - batch 760/836, loss=1.049625
2026-03-03 15:14:09,225 - INFO - [STaSy] Epoch 3/100 - batch 780/836, loss=1.468745
2026-03-03 15:14:09,603 - INFO - [STaSy] Epoch 3/100 - batch 800/836, loss=1.738200
2026-03-03 15:14:09,980 - INFO - [STaSy] Epoch 3/100 - batch 820/836, loss=2.221435
2026-03-03 15:14:10,285 - INFO - [STaSy] Epoch 3/100 - batch 836/836, loss=2.745328
2026-03-03 15:14:10,285 - INFO - [STaSy] Epoch 3/100 - avg_loss=1.411883, batches=836
2026-03-03 15:14:10,659 - INFO - [STaSy] Epoch 4/100 - batch 20/836, loss=2.313153
2026-03-03 15:14:11,038 - INFO - [STaSy] Epoch 4/100 - batch 40/836, loss=1.045323
2026-03-03 15:14:11,417 - INFO - [STaSy] Epoch 4/100 - batch 60/836, loss=1.084903
2026-03-03 15:14:11,807 - INFO - [STaSy] Epoch 4/100 - batch 80/836, loss=1.667863
2026-03-03 15:14:12,203 - INFO - [STaSy] Epoch 4/100 - batch 100/836, loss=1.479817
2026-03-03 15:14:12,582 - INFO - [STaSy] Epoch 4/100 - batch 120/836, loss=1.223554
2026-03-03 15:14:12,959 - INFO - [STaSy] Epoch 4/100 - batch 140/836, loss=1.129513
2026-03-03 15:14:13,336 - INFO - [STaSy] Epoch 4/100 - batch 160/836, loss=0.973638
2026-03-03 15:14:13,712 - INFO - [STaSy] Epoch 4/100 - batch 180/836, loss=1.281262
2026-03-03 15:14:14,092 - INFO - [STaSy] Epoch 4/100 - batch 200/836, loss=1.518278
2026-03-03 15:14:14,467 - INFO - [STaSy] Epoch 4/100 - batch 220/836, loss=1.565611
2026-03-03 15:14:14,844 - INFO - [STaSy] Epoch 4/100 - batch 240/836, loss=1.671943
2026-03-03 15:14:15,224 - INFO - [STaSy] Epoch 4/100 - batch 260/836, loss=1.330079
2026-03-03 15:14:15,617 - INFO - [STaSy] Epoch 4/100 - batch 280/836, loss=1.813756
2026-03-03 15:14:16,007 - INFO - [STaSy] Epoch 4/100 - batch 300/836, loss=1.076278
2026-03-03 15:14:16,384 - INFO - [STaSy] Epoch 4/100 - batch 320/836, loss=2.607892
2026-03-03 15:14:16,760 - INFO - [STaSy] Epoch 4/100 - batch 340/836, loss=1.044117
2026-03-03 15:14:17,137 - INFO - [STaSy] Epoch 4/100 - batch 360/836, loss=1.262965
2026-03-03 15:14:17,517 - INFO - [STaSy] Epoch 4/100 - batch 380/836, loss=1.775483
2026-03-03 15:14:17,900 - INFO - [STaSy] Epoch 4/100 - batch 400/836, loss=1.351957
2026-03-03 15:14:18,276 - INFO - [STaSy] Epoch 4/100 - batch 420/836, loss=1.548182
2026-03-03 15:14:18,655 - INFO - [STaSy] Epoch 4/100 - batch 440/836, loss=1.724720
2026-03-03 15:14:19,034 - INFO - [STaSy] Epoch 4/100 - batch 460/836, loss=1.969428
2026-03-03 15:14:19,427 - INFO - [STaSy] Epoch 4/100 - batch 480/836, loss=1.860246
2026-03-03 15:14:19,812 - INFO - [STaSy] Epoch 4/100 - batch 500/836, loss=1.201383
2026-03-03 15:14:20,189 - INFO - [STaSy] Epoch 4/100 - batch 520/836, loss=1.274544
2026-03-03 15:14:20,565 - INFO - [STaSy] Epoch 4/100 - batch 540/836, loss=1.032370
2026-03-03 15:14:20,942 - INFO - [STaSy] Epoch 4/100 - batch 560/836, loss=1.998212
2026-03-03 15:14:21,323 - INFO - [STaSy] Epoch 4/100 - batch 580/836, loss=2.465136
2026-03-03 15:14:21,702 - INFO - [STaSy] Epoch 4/100 - batch 600/836, loss=2.876706
