nohup: ignoring input
2026-03-02 09:11:29,517 - INFO - Starting Evaluation on device: cuda
2026-03-02 09:12:18,243 - INFO - Filtered execution to single model: TabDiff (ICLR 25)
2026-03-02 09:12:18,243 - INFO - === Running evaluation for SEED: 42 ===
2026-03-02 09:12:18,245 - INFO - Evaluating TabDiff (ICLR 25)...
2026-03-02 09:12:18,245 - INFO - Training TabDiff (ICLR 2025) ...
2026-03-02 09:15:45,685 - INFO - [TabDiff] Epoch 2/100 - batch 620/836, loss=3.525321
2026-03-02 09:15:48,356 - INFO - [TabDiff] Epoch 2/100 - batch 640/836, loss=4.001864
2026-03-02 09:15:51,097 - INFO - [TabDiff] Epoch 2/100 - batch 660/836, loss=3.926521
2026-03-02 09:15:54,081 - INFO - [TabDiff] Epoch 2/100 - batch 680/836, loss=3.575417
2026-03-02 09:15:56,745 - INFO - [TabDiff] Epoch 2/100 - batch 700/836, loss=3.776724
2026-03-02 09:15:59,422 - INFO - [TabDiff] Epoch 2/100 - batch 720/836, loss=3.541929
2026-03-02 09:16:02,082 - INFO - [TabDiff] Epoch 2/100 - batch 740/836, loss=3.419820
2026-03-02 09:16:04,731 - INFO - [TabDiff] Epoch 2/100 - batch 760/836, loss=3.622990
2026-03-02 09:16:07,401 - INFO - [TabDiff] Epoch 2/100 - batch 780/836, loss=3.473868
2026-03-02 09:16:10,078 - INFO - [TabDiff] Epoch 2/100 - batch 800/836, loss=3.365222
2026-03-02 09:16:12,739 - INFO - [TabDiff] Epoch 2/100 - batch 820/836, loss=3.345792
2026-03-02 09:16:15,178 - INFO - [TabDiff] Epoch 2/100 - batch 836/836, loss=3.435772
2026-03-02 09:16:15,178 - INFO - [TabDiff] Epoch 2/100 - avg_loss=3.500254, batches=836
2026-03-02 09:16:17,980 - INFO - [TabDiff] Epoch 3/100 - batch 20/836, loss=3.213269
2026-03-02 09:16:20,651 - INFO - [TabDiff] Epoch 3/100 - batch 40/836, loss=3.432773
2026-03-02 09:16:23,314 - INFO - [TabDiff] Epoch 3/100 - batch 60/836, loss=3.495321
2026-03-02 09:16:25,973 - INFO - [TabDiff] Epoch 3/100 - batch 80/836, loss=3.214649
2026-03-02 09:16:28,663 - INFO - [TabDiff] Epoch 3/100 - batch 100/836, loss=3.234232
2026-03-02 09:16:31,325 - INFO - [TabDiff] Epoch 3/100 - batch 120/836, loss=3.024101
2026-03-02 09:16:33,969 - INFO - [TabDiff] Epoch 3/100 - batch 140/836, loss=3.318812
2026-03-02 09:16:36,651 - INFO - [TabDiff] Epoch 3/100 - batch 160/836, loss=3.212873
2026-03-02 09:16:39,308 - INFO - [TabDiff] Epoch 3/100 - batch 180/836, loss=3.837630
2026-03-02 09:16:41,966 - INFO - [TabDiff] Epoch 3/100 - batch 200/836, loss=3.864383
2026-03-02 09:16:44,626 - INFO - [TabDiff] Epoch 3/100 - batch 220/836, loss=3.591378
2026-03-02 09:16:47,286 - INFO - [TabDiff] Epoch 3/100 - batch 240/836, loss=3.094696
2026-03-02 09:16:49,962 - INFO - [TabDiff] Epoch 3/100 - batch 260/836, loss=3.077773
2026-03-02 09:16:52,611 - INFO - [TabDiff] Epoch 3/100 - batch 280/836, loss=3.643184
2026-03-02 09:16:55,271 - INFO - [TabDiff] Epoch 3/100 - batch 300/836, loss=3.467832
2026-03-02 09:16:57,954 - INFO - [TabDiff] Epoch 3/100 - batch 320/836, loss=3.299703
2026-03-02 09:17:00,601 - INFO - [TabDiff] Epoch 3/100 - batch 340/836, loss=3.811044
2026-03-02 09:17:03,265 - INFO - [TabDiff] Epoch 3/100 - batch 360/836, loss=3.166096
2026-03-02 09:17:05,930 - INFO - [TabDiff] Epoch 3/100 - batch 380/836, loss=3.608620
2026-03-02 09:17:08,573 - INFO - [TabDiff] Epoch 3/100 - batch 400/836, loss=3.577243
2026-03-02 09:17:11,237 - INFO - [TabDiff] Epoch 3/100 - batch 420/836, loss=4.264013
2026-03-02 09:17:13,933 - INFO - [TabDiff] Epoch 3/100 - batch 440/836, loss=3.207253
2026-03-02 09:17:16,593 - INFO - [TabDiff] Epoch 3/100 - batch 460/836, loss=3.482730
2026-03-02 09:17:19,239 - INFO - [TabDiff] Epoch 3/100 - batch 480/836, loss=3.977879
2026-03-02 09:17:21,936 - INFO - [TabDiff] Epoch 3/100 - batch 500/836, loss=3.593459
2026-03-02 09:17:24,798 - INFO - [TabDiff] Epoch 3/100 - batch 520/836, loss=3.474650
