nohup: ignoring input
2026-03-03 11:59:34,769 - INFO - Starting Evaluation on device: cuda
2026-03-03 12:00:25,016 - INFO - Filtered execution to single model: TSDiff (ICLR 23)
2026-03-03 12:00:25,016 - INFO - === Running evaluation for SEED: 42 ===
2026-03-03 12:00:25,017 - INFO - Evaluating TSDiff (ICLR 23)...
2026-03-03 12:00:25,017 - INFO - Training TSDiff (ICLR 2023) ...
2026-03-03 12:00:36,826 - INFO - [TSDiff] Epoch 2/100 - batch 680/836, loss=1.006371
2026-03-03 12:00:36,973 - INFO - [TSDiff] Epoch 2/100 - batch 700/836, loss=0.998491
2026-03-03 12:00:37,120 - INFO - [TSDiff] Epoch 2/100 - batch 720/836, loss=0.984557
2026-03-03 12:00:37,266 - INFO - [TSDiff] Epoch 2/100 - batch 740/836, loss=1.015116
2026-03-03 12:00:37,413 - INFO - [TSDiff] Epoch 2/100 - batch 760/836, loss=1.013300
2026-03-03 12:00:37,559 - INFO - [TSDiff] Epoch 2/100 - batch 780/836, loss=0.985999
2026-03-03 12:00:37,705 - INFO - [TSDiff] Epoch 2/100 - batch 800/836, loss=0.995135
2026-03-03 12:00:37,852 - INFO - [TSDiff] Epoch 2/100 - batch 820/836, loss=0.991190
2026-03-03 12:00:37,972 - INFO - [TSDiff] Epoch 2/100 - batch 836/836, loss=0.958576
2026-03-03 12:00:37,973 - INFO - [TSDiff] Epoch 2/100 - avg_loss=1.001510, batches=836
2026-03-03 12:00:38,125 - INFO - [TSDiff] Epoch 3/100 - batch 20/836, loss=0.991725
2026-03-03 12:00:38,273 - INFO - [TSDiff] Epoch 3/100 - batch 40/836, loss=1.008485
2026-03-03 12:00:38,422 - INFO - [TSDiff] Epoch 3/100 - batch 60/836, loss=1.019930
2026-03-03 12:00:38,569 - INFO - [TSDiff] Epoch 3/100 - batch 80/836, loss=0.991859
2026-03-03 12:00:38,717 - INFO - [TSDiff] Epoch 3/100 - batch 100/836, loss=0.990149
2026-03-03 12:00:38,864 - INFO - [TSDiff] Epoch 3/100 - batch 120/836, loss=0.996780
2026-03-03 12:00:39,012 - INFO - [TSDiff] Epoch 3/100 - batch 140/836, loss=0.992611
2026-03-03 12:00:39,160 - INFO - [TSDiff] Epoch 3/100 - batch 160/836, loss=1.002051
2026-03-03 12:00:39,308 - INFO - [TSDiff] Epoch 3/100 - batch 180/836, loss=0.988774
2026-03-03 12:00:39,457 - INFO - [TSDiff] Epoch 3/100 - batch 200/836, loss=1.002738
2026-03-03 12:00:39,605 - INFO - [TSDiff] Epoch 3/100 - batch 220/836, loss=1.024694
2026-03-03 12:00:39,754 - INFO - [TSDiff] Epoch 3/100 - batch 240/836, loss=0.984129
2026-03-03 12:00:39,902 - INFO - [TSDiff] Epoch 3/100 - batch 260/836, loss=1.016623
2026-03-03 12:00:40,050 - INFO - [TSDiff] Epoch 3/100 - batch 280/836, loss=1.004130
2026-03-03 12:00:40,198 - INFO - [TSDiff] Epoch 3/100 - batch 300/836, loss=0.998353
2026-03-03 12:00:40,346 - INFO - [TSDiff] Epoch 3/100 - batch 320/836, loss=0.999244
2026-03-03 12:00:40,493 - INFO - [TSDiff] Epoch 3/100 - batch 340/836, loss=1.009496
2026-03-03 12:00:40,642 - INFO - [TSDiff] Epoch 3/100 - batch 360/836, loss=0.990963
2026-03-03 12:00:40,794 - INFO - [TSDiff] Epoch 3/100 - batch 380/836, loss=1.003839
2026-03-03 12:00:40,947 - INFO - [TSDiff] Epoch 3/100 - batch 400/836, loss=1.000035
2026-03-03 12:00:41,098 - INFO - [TSDiff] Epoch 3/100 - batch 420/836, loss=1.018618
2026-03-03 12:00:41,250 - INFO - [TSDiff] Epoch 3/100 - batch 440/836, loss=0.993237
2026-03-03 12:00:41,404 - INFO - [TSDiff] Epoch 3/100 - batch 460/836, loss=1.006716
2026-03-03 12:00:41,557 - INFO - [TSDiff] Epoch 3/100 - batch 480/836, loss=1.005000
2026-03-03 12:00:41,709 - INFO - [TSDiff] Epoch 3/100 - batch 500/836, loss=1.017367
2026-03-03 12:00:41,861 - INFO - [TSDiff] Epoch 3/100 - batch 520/836, loss=0.978132
2026-03-03 12:00:42,014 - INFO - [TSDiff] Epoch 3/100 - batch 540/836, loss=1.048378
2026-03-03 12:00:42,166 - INFO - [TSDiff] Epoch 3/100 - batch 560/836, loss=1.022250
2026-03-03 12:00:42,318 - INFO - [TSDiff] Epoch 3/100 - batch 580/836, loss=0.998761
2026-03-03 12:00:42,471 - INFO - [TSDiff] Epoch 3/100 - batch 600/836, loss=1.000773
2026-03-03 12:00:42,623 - INFO - [TSDiff] Epoch 3/100 - batch 620/836, loss=0.991046
2026-03-03 12:00:42,776 - INFO - [TSDiff] Epoch 3/100 - batch 640/836, loss=0.983726
2026-03-03 12:00:42,930 - INFO - [TSDiff] Epoch 3/100 - batch 660/836, loss=0.994646
